ROUTE,vuelos,tasa_retraso_pct,distancia,impacto,recomendacion
AMA → IAH,899,11.6,517.0,0.7889488319987079,MANTENER
HNL → EWR,330,13.6,4962.0,0.7886766010066315,MANTENER
PVD → ATL,947,11.5,903.0,0.7881293957163991,MANTENER
SLC → SNA,1570,10.7,588.0,0.7873949061226319,MANTENER
PSP → SLC,747,11.9,541.0,0.7873117570308054,MANTENER
GRB → MSP,1060,11.3,252.0,0.7871607331429907,MANTENER
OGG → SJC,668,12.1,2355.0,0.787018868997934,MANTENER
GCK → DFW,663,12.1,404.0,0.7861097738124894,MANTENER
SIT → JNU,662,12.1,95.0,0.785927132268378,MANTENER
CVG → MEM,107,16.8,403.0,0.7850352441896002,MONITOREAR
MEM → CLT,691,12.0,511.0,0.7845767788521204,MANTENER
JAX → MDW,334,13.5,849.0,0.7845040340518546,MANTENER
KTN → SIT,334,13.5,183.0,0.7845040340518546,MANTENER
IND → LAS,859,11.6,1590.0,0.7836691949501735,MANTENER
TUS → MSP,179,15.1,1298.0,0.783295256681954,MONITOREAR
IAH → AMA,899,11.5,517.0,0.7821475489642363,MANTENER
LGA → CVG,108,16.7,585.0,0.7819159149297447,MONITOREAR
FLL → MCI,327,13.5,1242.0,0.7816446230711293,MANTENER
PLN → DTW,752,11.8,243.0,0.7814828862260812,MANTENER
TLH → MIA,427,12.9,402.0,0.7813251377064926,MANTENER
FAT → SAN,196,14.8,314.0,0.7811609695661166,MANTENER
SAN → FAT,196,14.8,314.0,0.7811609695661166,MANTENER
PDX → BOS,491,12.6,2537.0,0.7807519601021096,MANTENER
GRR → ATL,1290,10.9,640.0,0.7807013272117732,MANTENER
PUB → DEN,264,14.0,109.0,0.7806328744404843,MANTENER
IAD → MSY,188,14.9,955.0,0.7802298524616624,MANTENER
BDL → RSW,399,13.0,1180.0,0.7785649841956823,MANTENER
CLE → IAD,363,13.2,288.0,0.7780611741229603,MANTENER
IAH → STL,867,11.5,667.0,0.7779794823297623,MANTENER
IAG → FLL,206,14.6,1176.0,0.7778699206432789,MANTENER
SEA → OGG,1240,10.9,2640.0,0.7763924657873,MANTENER
MDT → ATL,956,11.3,620.0,0.7754916441748083,MANTENER
ALB → CLT,705,11.8,646.0,0.7738673407318478,MANTENER
FNT → BWI,538,12.3,452.0,0.7734066028998996,MANTENER
BUF → CLT,1206,10.9,546.0,0.7733620171242973,MANTENER
BUF → ATL,1569,10.5,712.0,0.7726103440369684,MANTENER
JAC → IAH,102,16.7,1265.0,0.7723704598184731,MONITOREAR
JNU → YAK,331,13.3,198.909,0.7716817439251494,MANTENER
SEA → BZN,117,16.2,543.0,0.7714721774372365,MONITOREAR
PHX → SBP,717,11.7,509.0,0.7692838733501555,MANTENER
JMS → DEN,286,13.6,573.0,0.7692148862715,MANTENER
PHX → YUM,1878,10.2,160.0,0.7688721912963572,MANTENER
EWR → AVL,174,14.9,583.0,0.7686992395829648,MANTENER
ABR → MSP,671,11.8,257.0,0.7680347581626585,MANTENER
MSP → TPA,1070,11.0,1306.0,0.7672955320201547,MANTENER
SIT → KTN,334,13.2,183.0,0.7670706110729245,MANTENER
HNL → DEN,334,13.2,3365.0,0.7670706110729245,MANTENER
ANC → FAI,334,13.2,261.0,0.7670706110729245,MANTENER
SAN → BOI,334,13.2,749.0,0.7670706110729245,MANTENER
HNL → SMF,334,13.2,2462.0,0.7670706110729245,MANTENER
SWF → FLL,334,13.2,1118.0,0.7670706110729245,MANTENER
SLC → DTW,1388,10.6,1481.0,0.7669756289530755,MANTENER
DCA → LAX,1000,11.1,2311.0,0.7667608359670172,MANTENER
PVD → CLT,1053,11.0,683.0,0.7655338363347373,MANTENER
CMH → LAS,622,11.9,1771.0,0.7655198710359624,MANTENER
PSC → SEA,176,14.8,172.0,0.7652316312656465,MANTENER
BHM → DAL,686,11.7,587.0,0.7641126824439285,MANTENER
CAK → BOS,299,13.4,549.0,0.763859438834352,MANTENER
FWA → MSP,273,13.6,488.0,0.7628881641451546,MANTENER
MCI → CLT,1242,10.7,808.0,0.7623191740867964,MANTENER
JFK → SRQ,335,13.1,1041.0,0.7616510996690837,MANTENER
SEA → ONT,898,11.2,956.0,0.7616190476498463,MANTENER
MKE → PHX,1413,10.5,1460.0,0.7616143901818754,MANTENER
SAT → MSP,177,14.7,1097.0,0.7608940106883528,MANTENER
ICT → DAL,597,11.9,333.0,0.7606381364937197,MANTENER
LAS → MIA,1395,10.5,2174.0,0.7602682178968239,MANTENER
PDX → ABQ,228,14.0,1111.0,0.7601083880536218,MANTENER
SPI → DFW,589,11.9,630.0,0.7590327158545388,MANTENER
SLC → AUS,588,11.9,1086.0,0.7588305067999367,MANTENER
LEX → DTW,500,12.2,296.0,0.7581821880075074,MANTENER
MSP → BZN,689,11.6,874.0,0.7580879874375843,MANTENER
MYR → DTW,387,12.7,636.0,0.7567199360147823,MANTENER
AVL → ORD,715,11.5,536.0,0.7558124924098109,MANTENER
CMH → DCA,293,13.3,323.0,0.75546295699927,MANTENER
TPA → LAX,603,11.8,2158.0,0.755426229213808,MANTENER
SEA → BLI,248,13.7,93.0,0.7553397382246025,MANTENER
MSP → IND,902,11.1,503.0,0.7553122117269513,MANTENER
MSP → ABR,671,11.6,257.0,0.7550172198887151,MANTENER
DAY → MCO,348,12.9,808.0,0.7549341198909072,MANTENER
SJC → IAH,462,12.3,1608.0,0.754674481603054,MANTENER
YAK → CDV,331,13.0,213.0,0.7542753887990182,MANTENER
HPN → TPA,331,13.0,1032.0,0.7542753887990182,MANTENER
DCA → SLC,630,11.7,1851.0,0.7541492188681126,MANTENER
GUC → DFW,129,15.5,678.0,0.7532709226760591,MONITOREAR
MSP → ISN,1063,10.8,546.0,0.7526358408609305,MANTENER
LGB → AUS,475,12.2,1226.0,0.7519244060922262,MANTENER
SLC → CLT,617,11.7,1727.0,0.7517096757969304,MANTENER
MFR → DEN,525,12.0,964.0,0.7516077915109948,MANTENER
DTW → PIA,371,12.7,346.0,0.7513576619511443,MANTENER
MHK → DFW,985,10.9,431.0,0.7512979388877576,MANTENER
JAC → DFW,370,12.7,1047.0,0.7510148817160602,MANTENER
SEA → SAT,334,12.9,1774.0,0.7496371880939944,MANTENER
BDL → CLE,130,15.4,476.0,0.7496003053701596,MONITOREAR
MSP → XNA,466,12.2,596.0,0.7495906473633287,MANTENER
SAT → BNA,569,11.8,822.0,0.7485778912269071,MANTENER
MKE → LAX,380,12.6,1756.0,0.7484615778427743,MANTENER
PHL → DAL,114,15.8,1295.0,0.7483193548463303,MONITOREAR
DAL → PHL,114,15.8,1295.0,0.7483193548463303,MONITOREAR
ATL → STT,632,11.6,1599.0,0.7480711697210355,MANTENER
TUS → PHX,1155,10.6,110.0,0.7474966960333247,MANTENER
MOB → IAH,1513,10.2,427.0,0.7468286708064122,MANTENER
TUL → DTW,224,13.8,789.0,0.7468071551559955,MANTENER
BDL → CLT,1621,10.1,644.0,0.7464706506953033,MANTENER
AUS → SLC,588,11.7,1086.0,0.7460770529041393,MANTENER
SJU → BWI,621,11.6,1565.0,0.7460344055042835,MANTENER
HDN → DFW,139,15.1,769.0,0.7451055639027344,MONITOREAR
XNA → CVG,190,14.2,562.0,0.745077418246789,MANTENER
SEA → OMA,335,12.8,1368.0,0.7442087080736085,MANTENER
BOI → IAH,335,12.8,1482.0,0.7442087080736085,MANTENER
OMA → SEA,335,12.8,1368.0,0.7442087080736085,MANTENER
DFW → HSV,280,13.2,603.0,0.743792227618341,MANTENER
OKC → ATL,1976,9.8,761.0,0.7437053280741657,MANTENER
AUS → SNA,156,14.7,1209.0,0.7423288330656819,MANTENER
GRI → DFW,634,11.5,561.0,0.741985629760281,MANTENER
MSP → ICT,634,11.5,545.0,0.741985629760281,MANTENER
PSE → MCO,416,12.3,1179.0,0.7417742870121354,MANTENER
DEN → PUB,264,13.3,109.0,0.7416012307184601,MANTENER
CMX → ORD,668,11.4,359.183,0.7414888517831776,MANTENER
CMH → RSW,482,12.0,930.0,0.741353293686072,MANTENER
OMA → LGA,140,15.0,1148.0,0.7412463633913956,MONITOREAR
PAH → ORD,666,11.4,342.0,0.7411470224416044,MANTENER
SNA → PDX,1146,10.5,859.0,0.7396234542138419,MANTENER
SJC → DFW,1511,10.1,1438.0,0.7393732231895467,MANTENER
GSP → ORD,829,11.0,577.784,0.7392242170648825,MANTENER
ISN → IAH,321,12.8,1330.0,0.7387444637606421,MANTENER
IND → CLT,824,11.0,427.0,0.7385587582900419,MANTENER
GSP → DTW,219,13.7,508.0,0.7383028269848605,MANTENER
MSP → CMH,468,12.0,626.0,0.7378161955101177,MANTENER
MSP → LAN,518,11.8,455.0,0.7374970785866191,MANTENER
ORH → MCO,332,12.7,1091.0,0.737252141052394,MANTENER
GRR → RSW,100,16.0,1147.0,0.7368272297580947,MONITOREAR
CLD → LAX,641,11.4,86.0,0.7367853580889564,MANTENER
LIT → ATL,1976,9.7,453.0,0.7361164981958578,MANTENER
TPA → CVG,313,12.8,773.0,0.7355140083891396,MANTENER
SJC → SLC,1678,9.9,584.0,0.735110430815688,MANTENER
MSP → MIA,846,10.9,1501.0,0.7347166101970783,MANTENER
DTW → CHS,284,13.0,667.0,0.7343666509609569,MANTENER
LIH → SEA,561,11.6,2701.0,0.7342476250406327,MANTENER
HSV → IAH,895,10.8,595.0,0.7340569615736845,MANTENER
PHX → FAT,471,11.9,493.0,0.7324281131879538,MANTENER
BDL → LAS,268,13.1,2297.0,0.7324192944469222,MANTENER
LBB → LAS,334,12.6,775.0,0.7322037651150644,MANTENER
AUS → DCA,334,12.6,1315.0,0.7322037651150644,MANTENER
LIT → PHX,334,12.6,1136.0,0.7322037651150644,MANTENER
MSY → MKE,109,15.6,903.0,0.7318502696277464,MONITOREAR
TYR → IAH,688,11.2,163.0,0.7317843498485344,MANTENER
PDX → IAH,774,11.0,1825.0,0.73167290609487,MANTENER
PSC → SFO,364,12.4,620.0,0.7312470795869558,MANTENER
DTW → ESC,573,11.5,306.0,0.7303518574221951,MANTENER
RHI → IMT,287,12.9,67.0,0.7300732058329912,MANTENER
BOS → ACK,118,15.3,91.0,0.7299147475432467,MONITOREAR
FNT → TPA,231,13.4,1036.0,0.7292839732099203,MANTENER
HRL → AUS,326,12.6,273.0,0.7291490700522052,MANTENER
MSY → SAT,240,13.3,494.0,0.7289249768044849,MANTENER
EGE → JFK,110,15.5,1746.0,0.7285744566978246,MONITOREAR
PVD → DTW,799,10.9,615.0,0.7284863430885239,MANTENER
ECP → DAL,152,14.5,674.0,0.72846267552271,MANTENER
SFO → CLT,1818,9.7,2296.0,0.7280327506495301,MANTENER
